X,CH1
Second,Volt,
-5.3199997637e-04,-8.40e-01
-5.2800000412e-04,-8.60e-01
-5.2399997367e-04,-8.40e-01
-5.2000000142e-04,-8.40e-01
-5.1599997096e-04,-8.60e-01
-5.1199999871e-04,-8.60e-01
-5.0800002646e-04,-8.40e-01
-5.0399999600e-04,-8.40e-01
-5.0000002375e-04,-8.60e-01
-4.9599999329e-04,-8.60e-01
-4.9200002104e-04,-8.40e-01
-4.8799999058e-04,-8.60e-01
-4.8399998923e-04,-8.40e-01
-4.7999998787e-04,-8.60e-01
-4.7599998652e-04,-8.40e-01
-4.7199998517e-04,-8.60e-01
-4.6800001292e-04,-8.40e-01
-4.6400001156e-04,-8.40e-01
-4.6000001021e-04,-8.60e-01
-4.5600000885e-04,-8.60e-01
-4.5200000750e-04,-8.40e-01
-4.4800000614e-04,-8.60e-01
-4.4400000479e-04,-8.40e-01
-4.4000000344e-04,-8.60e-01
-4.3600000208e-04,-8.40e-01
-4.3200000073e-04,-8.40e-01
-4.2799999937e-04,-8.60e-01
-4.2399999802e-04,-8.40e-01
-4.1999999667e-04,-8.40e-01
-4.1599999531e-04,-8.40e-01
-4.1199999396e-04,-8.60e-01
-4.0799999260e-04,-8.60e-01
-4.0399999125e-04,-8.40e-01
-3.9999998990e-04,-8.60e-01
-3.9599998854e-04,-8.40e-01
-3.9199998719e-04,-8.60e-01
-3.8799998583e-04,-8.40e-01
-3.8400001358e-04,-8.40e-01
-3.8000001223e-04,-8.60e-01
-3.7600001087e-04,-8.40e-01
-3.7200000952e-04,-8.60e-01
-3.6800000817e-04,-8.60e-01
-3.6400000681e-04,-8.40e-01
-3.6000000546e-04,-8.40e-01
-3.5600000410e-04,-8.60e-01
-3.5200000275e-04,-8.40e-01
-3.4800000140e-04,-8.60e-01
-3.4400000004e-04,-8.40e-01
-3.3999999869e-04,-8.60e-01
-3.3599999733e-04,-8.40e-01
-3.3199999598e-04,-8.60e-01
-3.2799999462e-04,-8.60e-01
-3.2399999327e-04,-8.40e-01
-3.1999999192e-04,-8.40e-01
-3.1599999056e-04,-8.60e-01
-3.1199998921e-04,-8.60e-01
-3.0799998785e-04,-8.40e-01
-3.0399998650e-04,-8.60e-01
-2.9999998515e-04,-8.40e-01
-2.9600001290e-04,-8.40e-01
-2.9200001154e-04,-8.60e-01
-2.8800001019e-04,-8.40e-01
-2.8400000883e-04,-8.60e-01
